tpep_pickup_date;tpep_pickup_hour;region;count
2015-06-09;3;1230;88
2015-06-09;4;1230;90
2015-06-09;5;1230;127
2015-06-09;6;1230;345
2015-06-09;7;1230;616
2015-06-09;8;1230;1044
2015-06-09;9;1230;1051
2015-06-09;10;1230;976
2015-06-09;11;1230;1055
2015-06-09;12;1230;1092
2015-06-09;13;1230;1103
2015-06-09;14;1230;1092
2015-06-09;15;1230;928
2015-06-09;16;1230;646
2015-06-09;17;1230;718
2015-06-09;18;1230;1038
2015-06-09;19;1230;1209
2015-06-09;20;1230;1187
2015-06-09;21;1230;1217
2015-06-09;22;1230;1078
2015-06-09;23;1230;851
2015-06-10;0;1230;645
2015-06-10;1;1230;307
2015-06-10;2;1230;187
2015-06-10;3;1230;98
2015-06-10;4;1230;88
2015-06-10;5;1230;178
2015-06-10;6;1230;354
2015-06-10;7;1230;640
2015-06-10;8;1230;1011
2015-06-10;9;1230;1042
2015-06-10;10;1230;1056
2015-06-10;11;1230;1080
2015-06-10;12;1230;1053
2015-06-10;13;1230;962
2015-06-10;14;1230;1015
2015-06-10;15;1230;803
2015-06-10;16;1230;617
2015-06-10;17;1230;635
2015-06-10;18;1230;880
2015-06-10;19;1230;1188
2015-06-10;20;1230;1307
2015-06-10;21;1230;1304
2015-06-10;22;1230;1007
2015-06-10;23;1230;936
2015-06-11;0;1230;765
2015-06-11;1;1230;482
2015-06-11;2;1230;208
2015-06-11;3;1230;114
2015-06-11;4;1230;124
2015-06-11;5;1230;196
2015-06-11;6;1230;386
2015-06-11;7;1230;622
2015-06-11;8;1230;995
2015-06-11;9;1230;1044
2015-06-11;10;1230;1012
2015-06-11;11;1230;1126
2015-06-11;12;1230;1069
2015-06-11;13;1230;1099
2015-06-11;14;1230;1070
2015-06-11;15;1230;791
2015-06-11;16;1230;530
2015-06-11;17;1230;618
2015-06-11;18;1230;900
2015-06-11;19;1230;1155
2015-06-11;20;1230;1043
2015-06-11;21;1230;967
2015-06-11;22;1230;785
2015-06-11;23;1230;984
2015-06-12;0;1230;917
2015-06-12;1;1230;564
2015-06-12;2;1230;321
2015-06-12;3;1230;203
2015-06-12;4;1230;161
2015-06-12;5;1230;196
2015-06-12;6;1230;369
2015-06-12;7;1230;580
2015-06-12;8;1230;820
2015-06-12;9;1230;897
2015-06-12;10;1230;890
2015-06-12;11;1230;913
2015-06-12;12;1230;941
2015-06-12;13;1230;831
2015-06-12;14;1230;854
2015-06-12;15;1230;785
2015-06-12;16;1230;554
2015-06-12;17;1230;679
2015-06-12;18;1230;946
2015-06-12;19;1230;1152
2015-06-12;20;1230;1117
2015-06-12;21;1230;1145
2015-06-12;22;1230;1178
2015-06-12;23;1230;1009
2015-06-13;0;1230;995
2015-06-13;1;1230;800
2015-06-13;2;1230;520
2015-06-13;3;1230;375
2015-06-13;4;1230;298
2015-06-13;5;1230;182
2015-06-13;6;1230;219
2015-06-13;7;1230;252
2015-06-13;8;1230;319
2015-06-13;9;1230;463
2015-06-13;10;1230;651
2015-06-13;11;1230;810
2015-06-13;12;1230;800
2015-06-13;13;1230;812
2015-06-13;14;1230;842
2015-06-13;15;1230;813
2015-06-13;16;1230;733
2015-06-13;17;1230;886
2015-06-13;18;1230;992
2015-06-13;19;1230;975
2015-06-13;20;1230;827
2015-06-13;21;1230;851
2015-06-13;22;1230;1057
2015-06-13;23;1230;1034
2015-06-14;0;1230;1021
2015-06-14;1;1230;828
2015-06-14;2;1230;643
2015-06-14;3;1230;494
2015-06-14;4;1230;369
2015-06-14;5;1230;162
2015-06-14;6;1230;156
2015-06-14;7;1230;163
2015-06-14;8;1230;229
2015-06-14;9;1230;337
2015-06-14;10;1230;527
2015-06-14;11;1230;621
2015-06-14;12;1230;658
2015-06-14;13;1230;631
2015-06-14;14;1230;658
2015-06-14;15;1230;662
2015-06-14;16;1230;595
2015-06-14;17;1230;751
2015-06-14;18;1230;807
2015-06-14;19;1230;829
2015-06-14;20;1230;773
2015-06-14;21;1230;994
2015-06-14;22;1230;824
2015-06-14;23;1230;605
2015-06-15;0;1230;308
2015-06-15;1;1230;171
2015-06-15;2;1230;117
2015-06-15;3;1230;60
2015-06-15;4;1230;101
2015-06-15;5;1230;148
2015-06-15;6;1230;339
2015-06-15;7;1230;539
2015-06-15;8;1230;806
2015-06-15;9;1230;926
2015-06-15;10;1230;843
2015-06-15;11;1230;940
2015-06-15;12;1230;997
2015-06-15;13;1230;999
2015-06-15;14;1230;1044
2015-06-15;15;1230;839
2015-06-15;16;1230;713
2015-06-15;17;1230;810
2015-06-15;18;1230;1074
2015-06-15;19;1230;1242
2015-06-15;20;1230;1103
2015-06-15;21;1230;1142
2015-06-15;22;1230;901
2015-06-15;23;1230;623
2015-06-16;0;1230;511
2015-06-16;1;1230;278
2015-06-16;2;1230;158
2015-06-16;3;1230;80
2015-06-16;4;1230;78
2015-06-16;5;1230;137
2015-06-16;6;1230;357
2015-06-16;7;1230;617
2015-06-16;8;1230;938
2015-06-16;9;1230;992
2015-06-16;10;1230;992
2015-06-16;11;1230;1071
2015-06-16;12;1230;1092
2015-06-16;13;1230;1128
2015-06-16;14;1230;1059
2015-06-16;15;1230;878
2015-06-16;16;1230;750
2015-06-16;17;1230;737
2015-06-16;18;1230;818
2015-06-16;19;1230;1163
2015-06-16;20;1230;1207
2015-06-16;21;1230;1198
2015-06-16;22;1230;1080
2015-06-16;23;1230;903
2015-06-17;0;1230;746
2015-06-17;1;1230;355
2015-06-17;2;1230;214
2015-06-17;3;1230;114
2015-06-17;4;1230;99
2015-06-17;5;1230;138
2015-06-17;6;1230;355
2015-06-17;7;1230;645
2015-06-17;8;1230;1006
2015-06-17;9;1230;1094
2015-06-17;10;1230;1071
2015-06-17;11;1230;1189
2015-06-17;12;1230;1139
2015-06-17;13;1230;1055
2015-06-17;14;1230;1025
2015-06-17;15;1230;865
2015-06-17;16;1230;621
2015-06-17;17;1230;678
2015-06-17;18;1230;875
2015-06-17;19;1230;1046
2015-06-17;20;1230;1164
2015-06-17;21;1230;1273
2015-06-17;22;1230;936
2015-06-17;23;1230;905
2015-06-18;0;1230;740
2015-06-18;1;1230;428
2015-06-18;2;1230;183
2015-06-18;3;1230;119
2015-06-18;4;1230;116
2015-06-18;5;1230;153
2015-06-18;6;1230;364
2015-06-18;7;1230;728
2015-06-18;8;1230;1057
2015-06-18;9;1230;1104
2015-06-18;10;1230;1066
2015-06-18;11;1230;1097
2015-06-18;12;1230;1113
2015-06-18;13;1230;1081
2015-06-18;14;1230;1044
2015-06-18;15;1230;885
2015-06-18;16;1230;626
2015-06-18;17;1230;697
2015-06-18;18;1230;923
2015-06-18;19;1230;1049
2015-06-18;20;1230;973
2015-06-18;21;1230;1049
2015-06-18;22;1230;904
2015-06-18;23;1230;1039
2015-06-19;0;1230;832
